[2026-03-03 07:44:59] User: 3 | Action: REGISTER | Details: New user registered: test@example.com
[2026-03-04 16:44:29] User:  | Action: LOGOUT | Details: User logged out
[2026-03-04 16:44:35] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: iPhone
[2026-03-05 03:41:38] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 03:41:44] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-05 04:26:15] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 04:26:20] User: 5 | Action: LOGIN | Details: User logged in: jkd@jkd.com
[2026-03-05 04:30:49] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 04:30:53] User: 5 | Action: LOGIN | Details: User logged in: jkd@jkd.com
[2026-03-05 04:31:01] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 04:31:04] User: 5 | Action: LOGIN | Details: User logged in: jkd@jkd.com
[2026-03-05 04:31:20] User: 5 | Action: LOGIN | Details: User logged in: jkd@jkd.com
[2026-03-05 04:31:41] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 04:33:17] User: 5 | Action: LOGIN_2FA_REQUIRED | Details: Password verified, awaiting 2FA: jkd@jkd.com
[2026-03-05 04:33:34] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-05 04:33:42] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 04:34:20] User: 7 | Action: REGISTER | Details: New user registered: chandupha@gmail.com
[2026-03-05 04:34:27] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 04:34:53] User: 7 | Action: LOGIN_2FA_REQUIRED | Details: Password verified, awaiting 2FA: chandupha@gmail.com
[2026-03-05 04:43:41] User: 5 | Action: LOGIN_2FA_REQUIRED | Details: Password verified, awaiting 2FA: jkd@jkd.com
[2026-03-05 04:43:52] User: 5 | Action: LOGIN_2FA_DEMO_BYPASS | Details: 2FA bypassed with demo exit code
[2026-03-05 04:43:52] User: 5 | Action: LOGIN_2FA_SUCCESS | Details: 2FA verified: jkd@jkd.com
[2026-03-05 04:48:41] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 04:48:44] User: 5 | Action: LOGIN_2FA_REQUIRED | Details: Password verified, awaiting 2FA: jkd@jkd.com
[2026-03-05 04:48:55] User: 5 | Action: LOGIN_2FA_REQUIRED | Details: Password verified, awaiting 2FA: jkd@jkd.com
[2026-03-05 04:49:08] User: 5 | Action: LOGIN_2FA_DEMO_BYPASS | Details: 2FA bypassed with demo exit code
[2026-03-05 04:49:08] User: 5 | Action: LOGIN_2FA_SUCCESS | Details: 2FA verified: jkd@jkd.com
[2026-03-05 04:57:14] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 05:40:06] User: 7 | Action: LOGIN_OAUTH | Details: OAuth login via google: chandupha@gmail.com
[2026-03-05 05:42:02] User: 7 | Action: LOGIN_OAUTH | Details: OAuth login via google: chandupha@gmail.com
[2026-03-05 05:44:58] User: 7 | Action: LOGIN_OAUTH | Details: OAuth login via google: chandupha@gmail.com
[2026-03-05 05:54:39] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 05:54:57] User: 7 | Action: LOGIN_OAUTH | Details: OAuth login via google: chandupha@gmail.com
[2026-03-05 06:00:44] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 06:00:56] User: 7 | Action: LOGIN_OAUTH | Details: OAuth login via google: chandupha@gmail.com
[2026-03-05 06:02:07] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 06:02:15] User: 7 | Action: LOGIN_OAUTH | Details: OAuth login via google: chandupha@gmail.com
[2026-03-05 06:09:11] User:  | Action: LOGOUT | Details: User logged out
[2026-03-05 06:09:21] User: 7 | Action: LOGIN_OAUTH | Details: OAuth login via google: chandupha@gmail.com
[2026-03-05 06:11:32] User: 7 | Action: DELETE_ACCOUNT | Details: User deleted their account
[2026-03-05 06:11:46] User: 8 | Action: LOGIN_OAUTH | Details: OAuth login via google: chandupha@gmail.com
[2026-03-05 08:19:14] User: 8 | Action: LOGIN_OAUTH | Details: OAuth login via google: chandupha@gmail.com
[2026-03-05 08:42:58] User: 5 | Action: PASSKEY_LOGIN | Details: Passkey login: Mac
[2026-03-05 08:46:32] User: 8 | Action: LOGOUT | Details: User logged out
[2026-03-05 08:46:46] User: 8 | Action: LOGIN_OAUTH | Details: OAuth login via google: chandupha@gmail.com
[2026-03-05 09:15:25] User: 8 | Action: LOGOUT | Details: User logged out
[2026-03-05 09:15:34] User: 8 | Action: LOGIN_OAUTH | Details: OAuth login via google: chandupha@gmail.com
